Tumor_Sample_Barcode	total	total_perMB	total_perMB_log
TCGA-49-4494-01A-01D-1265-08	149	3.921052632	0.593402672
TCGA-62-A46R-01A-11D-A24D-08	149	3.921052632	0.593402672
TCGA-78-7145-01A-11D-2036-08	150	3.947368421	0.596307662
TCGA-55-8508-01A-11D-2393-08	151	3.973684211	0.599193351
TCGA-91-7771-01A-11D-2167-08	151	3.973684211	0.599193351
TCGA-44-3396-01A-01D-1553-08	153	4.026315789	0.604907834
TCGA-67-6217-01A-11D-1753-08	154	4.052631579	0.607737124
TCGA-86-7954-01A-11D-2184-08	154	4.052631579	0.607737124
TCGA-17-Z043-01A-01W-0746-08	156	4.105263158	0.613341002
TCGA-44-6147-01A-21D-A27T-08	157	4.131578947	0.616116056
TCGA-44-2662-01A-01W-0928-08	160	4.210526316	0.624336386
TCGA-55-1596-01A-01W-0928-08	160	4.210526316	0.624336386
TCGA-78-7152-01A-11D-2036-08	160	4.210526316	0.624336386
TCGA-44-2662-01A-01D-A271-08	161	4.236842105	0.627042279
TCGA-44-6776-01A-11D-1855-08	161	4.236842105	0.627042279
TCGA-49-4507-01A-01D-1265-08	161	4.236842105	0.627042279
TCGA-55-1596-01A-01D-1040-01	161	4.236842105	0.627042279
TCGA-05-4415-01A-22D-1855-08	162	4.263157895	0.629731418
TCGA-64-1677-01A-01W-0928-08	162	4.263157895	0.629731418
TCGA-75-7031-01A-11D-1945-08	162	4.263157895	0.629731418
TCGA-80-5611-01A-01D-1625-08	162	4.263157895	0.629731418
TCGA-17-Z001-01A-01W-0746-08	163	4.289473684	0.632404008
TCGA-86-7701-01A-11D-2167-08	163	4.289473684	0.632404008
TCGA-44-2662-01A-01D-0969-08	166	4.368421053	0.640324491
TCGA-49-6744-01A-11D-1855-08	166	4.368421053	0.640324491
TCGA-55-6982-01A-11D-1945-08	168	4.421052632	0.645525685
TCGA-55-7724-01A-11D-2167-08	168	4.421052632	0.645525685
TCGA-91-6830-01A-11D-1945-08	168	4.421052632	0.645525685
TCGA-49-4505-01A-01D-1931-08	169	4.447368421	0.648103108
TCGA-38-4626-01A-01D-1553-08	170	4.473684211	0.650665325
TCGA-73-4662-01A-01D-1265-08	171	4.5	0.653212514
TCGA-67-3770-01A-01W-0928-08	172	4.526315789	0.65574485
TCGA-78-7154-01A-11D-2036-08	172	4.526315789	0.65574485
TCGA-55-8204-01A-11D-2238-08	174	4.578947368	0.660765652
TCGA-67-3770-01A-01D-0969-08	174	4.578947368	0.660765652
TCGA-73-4659-01A-01D-1265-08	175	4.605263158	0.663254452
TCGA-05-4389-01A-01D-1265-08	177	4.657894737	0.66818967
TCGA-44-2668-01B-02D-A271-08	177	4.657894737	0.66818967
TCGA-44-3917-01A-01D-A271-08	177	4.657894737	0.66818967
TCGA-44-6144-01A-11D-1753-08	177	4.657894737	0.66818967
TCGA-55-7283-01A-11D-2036-08	178	4.684210526	0.670636406
TCGA-78-7166-01A-12D-2063-08	178	4.684210526	0.670636406
TCGA-86-7711-01A-11D-2063-08	178	4.684210526	0.670636406
TCGA-97-A4M3-01A-11D-A24P-08	178	4.684210526	0.670636406
TCGA-86-8054-01A-11D-2238-08	179	4.710526316	0.673069434
TCGA-05-4244-01A-01D-1105-08	180	4.736842105	0.675488908
TCGA-78-7148-01A-11D-2036-08	180	4.736842105	0.675488908
TCGA-44-3917-01B-02D-A271-08	181	4.763157895	0.677894978
TCGA-44-A47A-01A-21D-A24D-08	182	4.789473684	0.680287791
TCGA-17-Z017-01A-01W-0746-08	183	4.815789474	0.682667493
TCGA-55-8614-01A-11D-2393-08	183	4.815789474	0.682667493
TCGA-75-7027-01A-11D-1945-08	184	4.842105263	0.685034226
TCGA-95-7944-01A-11D-2184-08	185	4.868421053	0.687388132
TCGA-55-7574-01A-11D-2036-08	186	4.894736842	0.689729348
TCGA-55-7911-01A-11D-2167-08	187	4.921052632	0.69205801
TCGA-44-7671-01A-11D-2063-08	189	4.973684211	0.696678208
TCGA-83-5908-01A-21D-2284-08	190	5	0.698970004
TCGA-17-Z003-01A-01W-0746-08	191	5.026315789	0.701249771
TCGA-55-A494-01A-11D-A24P-08	193	5.078947368	0.705773712
TCGA-55-A493-01A-11D-A24D-08	195	5.131578947	0.710251015
TCGA-17-Z025-01A-01W-0746-08	197	5.184210526	0.71468263
TCGA-17-Z053-01A-01W-0747-08	197	5.184210526	0.71468263
TCGA-50-7109-01A-11D-2036-08	198	5.210526316	0.716881594
TCGA-55-7727-01A-11D-2167-08	198	5.210526316	0.716881594
TCGA-78-7158-01A-11D-2036-08	198	5.210526316	0.716881594
TCGA-78-8660-01A-11D-2393-08	198	5.210526316	0.716881594
TCGA-05-4395-01A-01D-1265-08	203	5.342105263	0.727712441
TCGA-05-4396-01A-21D-1855-08	205	5.394736842	0.731970264
TCGA-17-Z018-01A-01W-0746-08	205	5.394736842	0.731970264
TCGA-86-8281-01A-11D-2284-08	205	5.394736842	0.731970264
TCGA-44-7661-01A-11D-2063-08	207	5.447368421	0.736186749
TCGA-93-8067-01C-01D-A38P-08	207	5.447368421	0.736186749
TCGA-MP-A4TC-01A-11D-A24P-08	208	5.473684211	0.738279738
TCGA-49-6742-01A-11D-1855-08	210	5.526315789	0.742435698
TCGA-55-8085-01A-11D-2238-08	211	5.552631579	0.744498859
TCGA-69-7973-01A-11D-2184-08	211	5.552631579	0.744498859
TCGA-73-4677-01A-01D-1265-08	212	5.578947368	0.746552264
TCGA-95-A4VK-01A-11D-A25L-08	212	5.578947368	0.746552264
TCGA-55-6972-01A-11D-1945-08	215	5.657894737	0.752654863
TCGA-L9-A443-01A-12D-A24D-08	215	5.657894737	0.752654863
TCGA-05-4430-01A-02D-1265-08	216	5.684210526	0.754670155
TCGA-86-A4D0-01A-11D-A24D-08	216	5.684210526	0.754670155
TCGA-50-5066-01A-01D-1625-08	217	5.710526316	0.756676137
TCGA-55-A492-01A-11D-A24D-08	217	5.710526316	0.756676137
TCGA-NJ-A55R-01A-11D-A25L-08	218	5.736842105	0.758672897
TCGA-97-8172-01A-11D-2284-08	220	5.789473684	0.762639084
TCGA-17-Z010-01A-01W-0746-08	222	5.842105263	0.766569378
TCGA-35-4123-01A-01D-1105-08	222	5.842105263	0.766569378
TCGA-55-8301-01A-11D-2284-08	224	5.894736842	0.770464422
